whitney_no,category,section_lo,section_hi,chapter,wikisource_url
542,causative,1041,1052,XIV,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIV#1041
543,present_a,733,750,IX,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_IX#733
543,present_participle,583,584,VIII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_VIII#583
543,causative,1041,1052,XIV,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIV#1041
544,present_a,733,750,IX,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_IX#733
544,present_na,717,732,IX,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_IX#717
544,present_participle,583,584,VIII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_VIII#583
544,passive_present,768,774,IX,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_IX#768
544,perfect,781,823,X,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_X#781
544,perfect_participle,802,806,X,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_X#802
544,aor_class,824,827,XI,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XI#824
544,aor_redup,856,873,XI,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XI#856
544,aor_is,898,911,XI,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XI#898
544,future_participle,939,939,XII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XII#939
544,s_future,931,940,XII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XII#931
544,periphrastic_future,942,949,XII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XII#942
544,causative,1041,1052,XIV,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIV#1041
544,desiderative,1026,1040,XIV,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIV#1026
544,intensive,1000,1025,XIV,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIV#1000
544,ppp,952,958,XIII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIII#952
544,past_active_participle,959,960,XIII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIII#959
544,infinitive,968,979,XIII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIII#968
544,adverbial_gerund,995,995,XIII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIII#995
544,gerund,989,994,XIII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIII#989
545,present_a,733,750,IX,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_IX#733
545,present_root,611,641,IX,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_IX#611
545,present_redup,642,682,IX,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_IX#642
545,present_ya,759,767,IX,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_IX#759
545,present_participle,583,584,VIII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_VIII#583
545,passive_present,768,774,IX,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_IX#768
545,perfect,781,823,X,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_X#781
545,perfect_participle,802,806,X,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_X#802
545,aor_class,824,827,XI,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XI#824
545,aor_root,828,846,XI,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XI#828
545,aor_redup,856,873,XI,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XI#856
545,aor_is,898,911,XI,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XI#898
545,aor_s,878,897,XI,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XI#878
545,future_participle,939,939,XII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XII#939
545,s_future,931,940,XII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XII#931
545,periphrastic_future,942,949,XII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XII#942
545,causative,1041,1052,XIV,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIV#1041
545,desiderative,1026,1040,XIV,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIV#1026
545,intensive,1000,1025,XIV,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIV#1000
545,ppp,952,958,XIII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIII#952
545,past_active_participle,959,960,XIII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIII#959
546,present_redup,642,682,IX,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_IX#642
546,present_ya,759,767,IX,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_IX#759
546,present_nu_u,697,716,IX,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_IX#697
546,present_participle,583,584,VIII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_VIII#583
546,passive_present,768,774,IX,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_IX#768
546,perfect,781,823,X,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_X#781
546,perfect_participle,802,806,X,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_X#802
546,aor_class,824,827,XI,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XI#824
546,aor_root,828,846,XI,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XI#828
546,aor_redup,856,873,XI,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XI#856
546,aor_is,898,911,XI,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XI#898
546,aor_s,878,897,XI,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XI#878
546,future_participle,939,939,XII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XII#939
546,s_future,931,940,XII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XII#931
546,periphrastic_future,942,949,XII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XII#942
546,causative,1041,1052,XIV,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIV#1041
546,desiderative,1026,1040,XIV,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIV#1026
