root_iast_raw,warnemyr_url,class
ṛj,root_1__rj.html,I|IV|VI|VII
1,root_1_mi.html,V
vā(in,root_3_vaa.html,
dīv,root_diiv.html,IV
dvar?,root_dvar.html,
hru,root_hru.html,
hur,root_hur.html,
med[mid],root_med.html,IV|VI
modṣ,root_mod_s.html,
