whitney_no,gana,certainty
522,VII,uncertain
523,I,certain
523,III,certain
524,VI,certain
525,VII,certain
525,I,uncertain
526,VI,certain
528,I,certain
529,I,certain
530,I,certain
530,II,certain
530,III,certain
531,IV,certain
531,VI,certain
532,I,certain
533,I,certain
533,IV,certain
534,I,certain
534,IV,certain
535,I,certain
536,IX,certain
537,I,certain
538,I,certain
539,I,certain
540,I,certain
543,I,certain
544,I,certain
544,IX,certain
545,I,certain
545,II,certain
545,III,certain
545,IV,certain
546,III,certain
546,IV,certain
546,VIII,certain
548,II,certain
548,III,certain
548,IV,certain
549,I,certain
550,III,certain
551,I,certain
554,I,certain
554,III,certain
556,I,certain
556,VI,uncertain
558,VI,certain
559,VI,certain
560,I,certain
561,III,certain
561,IV,certain
561,V,certain
561,IX,certain
562,I,certain
563,I,certain
564,VI,certain
565,I,certain
566,I,certain
567,I,certain
567,VI,certain
567,IX,certain
568,IV,certain
570,I,certain
571,I,certain
572,VI,certain
572,IX,certain
573,I,certain
573,VI,certain
574,IV,certain
575,I,certain
576,I,certain
576,II,certain
576,VI,certain
576,VII,certain
577,VI,certain
577,IX,certain
579,I,certain
579,IX,certain
580,I,certain
580,VI,certain
581,VI,certain
582,I,certain
582,IV,certain
585,I,certain
585,II,certain
586,I,certain
588,IV,uncertain
589,I,certain
590,I,certain
591,II,certain
591,IV,certain
594,I,certain
595,I,certain
597,I,certain
597,II,certain
598,I,certain
599,I,certain
600,I,certain
600,II,certain
601,I,certain
601,III,certain
601,IV,certain
603,II,certain
604,I,certain
605,I,certain
606,II,certain
606,VI,certain
606,IX,certain
607,I,certain
607,III,certain
607,VI,certain
608,II,certain
608,VII,certain
608,VI,uncertain
609,I,certain
609,II,certain
609,IV,certain
610,IV,certain
612,I,certain
613,I,certain
614,I,certain
617,I,certain
617,IV,certain
619,I,certain
620,I,certain
621,I,certain
621,II,certain
622,II,certain
622,IV,certain
623,I,certain
623,IV,certain
624,I,certain
625,I,certain
626,I,certain
628,I,certain
629,I,certain
629,IX,certain
630,I,certain
631,I,certain
633,I,certain
634,I,certain
635,I,certain
635,II,certain
635,III,certain
636,IV,certain
637,I,certain
637,II,certain
638,V,certain
638,IV,certain
639,I,certain
641,IV,certain
641,V,certain
641,VI,certain
641,IX,certain
642,VI,certain
643,I,certain
644,VII,certain
644,IV,uncertain
646,I,certain
646,VI,certain
647,I,certain
648,VI,certain
649,I,certain
649,IV,certain
650,II,certain
652,I,certain
652,II,certain
652,VI,certain
653,I,certain
653,II,certain
654,I,certain
655,VI,certain
655,II,uncertain
656,I,certain
657,I,certain
657,II,certain
657,VI,certain
658,I,certain
658,VI,certain
659,I,certain
659,II,certain
659,VII,certain
659,VI,uncertain
660,IV,certain
661,I,certain
661,IV,certain
661,VI,certain
662,I,certain
662,VI,certain
664,I,certain
665,I,certain
667,I,certain
668,I,certain
669,I,certain
670,VI,certain
671,I,certain
672,I,certain
672,IV,certain
673,I,certain
675,I,certain
676,I,certain
677,I,certain
677,IV,certain
678,I,certain
679,II,certain
681,VI,certain
682,VI,certain
683,IV,certain
683,VI,certain
684,II,certain
684,VI,certain
685,I,certain
685,IV,certain
685,IX,certain
687,I,certain
688,VI,certain
689,I,certain
690,I,certain
691,VI,certain
692,I,certain
692,IV,certain
692,VI,certain
693,I,certain
694,V,certain
694,IX,certain
695,I,certain
696,I,certain
698,VI,certain
699,II,certain
699,III,certain
700,I,certain
701,I,certain
702,I,certain
703,I,certain
704,I,certain
705,I,uncertain
706,I,certain
706,VI,certain
706,VIII,certain
707,I,certain
708,I,certain
709,I,certain
710,I,certain
710,II,certain
711,I,certain
712,I,certain
713,I,certain
714,I,certain
714,II,certain
714,III,certain
714,VI,certain
715,II,certain
715,VI,certain
716,II,certain
716,VI,certain
717,I,certain
718,I,certain
718,II,certain
719,II,certain
719,IV,certain
720,IV,certain
722,I,certain
723,I,certain
723,IV,certain
724,I,certain
725,III,certain
725,VII,certain
727,I,certain
727,VI,certain
728,I,certain
728,II,certain
728,VI,certain
729,II,certain
729,VI,certain
730,VI,certain
732,VI,certain
733,I,certain
734,VI,certain
735,I,certain
735,III,certain
736,I,certain
737,II,certain
738,I,certain
740,I,certain
740,V,certain
740,IX,certain
741,V,certain
741,IX,certain
742,I,certain
743,VII,certain
744,I,certain
744,II,certain
744,III,certain
745,I,certain
746,I,certain
746,VI,certain
747,VI,certain
748,I,certain
749,I,certain
751,III,certain
751,VI,certain
753,I,certain
754,IV,certain
755,I,certain
756,IV,uncertain
757,I,certain
758,I,certain
759,I,certain
760,I,certain
760,VI,certain
761,I,certain
762,I,certain
762,IV,certain
763,I,certain
765,IX,certain
766,I,certain
767,V,certain
768,I,certain
772,I,certain
772,IV,certain
773,I,certain
773,II,certain
773,IV,certain
773,IX,certain
774,I,certain
774,IV,certain
776,I,certain
777,I,certain
778,I,certain
778,II,certain
779,III,certain
779,VI,uncertain
780,I,certain
780,II,certain
784,II,certain
787,I,certain
787,VII,certain
787,VI,uncertain
788,IV,uncertain
789,I,certain
789,II,certain
790,I,certain
790,II,certain
790,IV,certain
792,I,certain
792,II,certain
792,IV,certain
793,I,certain
793,VI,certain
794,IV,certain
796,I,uncertain
797,IV,certain
797,VI,certain
797,IX,certain
800,I,certain
801,I,certain
803,I,certain
804,I,certain
804,II,certain
805,IV,uncertain
806,I,certain
806,IX,certain
806,VI,uncertain
807,I,certain
808,I,certain
808,IV,certain
809,I,certain
810,II,certain
810,IX,certain
810,IV,uncertain
811,I,certain
813,IX,certain
815,II,certain
815,V,certain
816,I,certain
818,IV,certain
819,I,certain
820,I,certain
820,IV,certain
821,I,certain
822,I,certain
822,II,certain
825,I,certain
825,IV,certain
827,V,certain
828,I,certain
828,III,certain
829,I,certain
830,I,certain
830,II,certain
831,VIII,certain
831,I,uncertain
832,I,certain
833,I,certain
835,II,certain
835,III,certain
836,I,certain
836,II,certain
836,IV,certain
837,V,certain
837,IX,certain
837,I,uncertain
837,VI,uncertain
839,I,certain
839,IV,certain
839,V,certain
841,I,certain
841,VI,certain
842,I,certain
843,IV,certain
845,IV,certain
846,III,certain
846,V,certain
848,IX,certain
848,VI,uncertain
849,I,certain
849,II,certain
849,IV,certain
849,VI,certain
850,I,certain
851,I,certain
852,I,certain
852,III,certain
854,I,certain
854,VI,certain
855,I,certain
856,I,certain
857,I,certain
858,I,certain
858,V,certain
858,IX,certain
859,II,certain
859,V,certain
859,IX,certain
861,I,certain
862,I,certain
862,II,certain
863,I,certain
863,V,certain
863,IX,certain
865,V,certain
866,IV,certain
867,I,certain
867,II,certain
867,V,certain
867,VI,uncertain
869,I,certain
869,II,certain
870,I,certain
870,V,certain
870,IX,certain
871,VI,certain
872,IV,certain
873,I,certain
874,I,certain
875,II,certain
875,IV,certain
876,IV,certain
877,II,certain
878,I,certain
881,V,certain
881,IX,certain
882,I,certain
882,VI,certain
883,I,certain
883,VI,certain
884,VI,certain
888,IV,certain
889,I,certain
889,VI,certain
891,I,certain
892,VI,certain
893,I,certain
894,I,certain
895,I,certain
896,I,certain
897,I,certain
898,IV,certain
899,I,certain
900,I,certain
901,I,certain
902,I,certain
902,II,uncertain
903,I,certain
903,II,certain
904,I,certain
906,I,certain
906,IV,certain
907,I,certain
908,I,certain
908,II,certain
908,VIII,certain
908,VI,uncertain
909,IV,certain
910,I,certain
911,I,certain
911,III,certain
912,III,certain
913,I,certain
914,I,certain
914,V,certain
915,I,certain
915,VII,certain
916,I,certain
917,I,certain
918,I,certain
919,II,certain
919,III,certain
921,I,certain
921,II,certain
921,III,certain
921,IV,uncertain
921,VI,uncertain
922,I,certain
923,I,certain
923,II,certain
923,III,certain
924,IX,certain
925,I,certain
925,IV,certain
928,I,certain
929,I,certain
929,II,certain
930,I,certain
931,I,certain
932,III,certain
934,I,certain
935,I,certain
936,I,certain
937,I,certain
937,IX,certain
937,III,uncertain
