whitney_no,root_iast,homonym,talmud_root,talmud_whitney_ref,talmud_tip,talmud_ryad,talmud_set,mp1_grade,mp2_grade,mp3_grade,alternation_class,mp1_deviation,derivation_method,grade_confidence,match_kind,unclassifiable_reason
45,īkṣ,,īkṣ,īkṣ,III,I₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,unique_spelling,
46,īṅkh,,īṅkh,īṅkh,III,I₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,unique_spelling,
47,īj,,ej,"ej, īj",II,I,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
48,īḍ,,īḍ,īḍ,III,I₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,unique_spelling,
49,īr,,īr,īr,III,I₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,unique_spelling,
50,īrṣy,,īrṣy,īrṣy,III,I₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,unique_spelling,
51,īś,,īś,īś,III,I₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,unique_spelling,
52,īṣ,,īṣ,"īṣ, eṣ",III,I₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,unique_spelling,
53,īh,,īh,īh,III,I₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,unique_spelling,
54,u,,u,u,I,U₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,spelling+homonym,
55,ukṣ,1,,,,,,,,,unclassifiable,,,,ambiguous_conflicting,ambiguous_conflicting
56,ukṣ,2,,,,,,,,,unclassifiable,,,,ambiguous_conflicting,ambiguous_conflicting
57,uc,,uc,uc,I,U₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
58,uch,,uøs,"1 vas, uṣ, uch",I,A₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
59,ujh,,ujh,ujh,III,U₁,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,unique_spelling,
60,uñch,,uñch,uñch,III,U₁,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,unique_spelling,
61,ud,,ud,"ud, und",I,U₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
62,ubj,,ubj,ubj,III,U₁,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,unique_spelling,
63,ubh,,umbh,"ubh, umbh",III,U₁,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,unique_spelling,
64,uṣ,1,uøs,"1 vas, uṣ, uch",I,A₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,spelling+homonym,
65,uṣ,2,uṣ,2 uṣ,I,U₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,spelling+homonym,
66,ūrṇu,1,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
67,ūh,1,ūh,1 ūh,III,U₂,veṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,spelling+homonym,
68,ūh,2,ūh,2 ūh,III,U₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,spelling+homonym,
69,ṛ,,ṛ,"ṛ, ṛch",I,R₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
70,ṛc,,ṛc,"arc, ṛc",I,R₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
72,ṛj,2,ṛj,"ṛj, ṛñj, arj",I,R₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
73,ṛt,,ṛt,ṛt,I,R₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
74,ṛd,,ṛd,ṛd,I,R₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
75,ṛdh,,ṛdh,ṛdh,I,R₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
76,ṛś,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
77,ṛṣ,,ṛṣ,ṛṣ,I,R₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
78,ej,,ej,"ej, īj",II,I,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
79,edh,,edh,edh,II,I,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
80,katth,,katth,katth,II,A₁,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
81,kath,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
82,kad,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
83,kan,,kn̥̄,"kan, kā",I,N₂,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
84,kam,,km̥̄,kam,I,M₂,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
85,kamp,,kanp,kamp,II,N,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
86,kal,,kal,kal,II,L,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
87,kaṣ,,kaṣ,kaṣ,II,A₁,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
88,kas,,kas,kas,II,A₁,veṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
89,kā,,kn̥̄,"kan, kā",I,N₂,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
90,kāṅkṣ,,kānkṣ,kāṅkṣ,IV,N,seṭ,vrddhi,vrddhi,vrddhi,over-strong,,talmud_appendix1,authorial,unique_spelling,
91,kāś,,kāś,kāś,II,A₂,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
92,kās,,kās,kās,II,A₂,veṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
93,ku,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
94,kuc,,kuc,"kuc, kuñc",I,U₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
95,kuñj,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
96,kuṭṭ,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
97,kuṇṭh,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
98,kuth,,kuth,kuth,I,U₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
99,kup,,kup,kup,I,U₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
100,kuṣ,,kuṣ,kuṣ,I,U₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
101,kū,,kū,kū,I,U₂,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
102,kūj,,kūj,kūj,III,U₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,unique_spelling,
103,kūḍ,,kūḍ,"kūḍ, kūl",III,U₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,unique_spelling,
104,kūṇ,,kūṇ,kūṇ,III,U₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,unique_spelling,
105,kūrd,,kūrd,kūrd,III,U₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,unique_spelling,
106,kṛ,1,kṛ,1 kṛ (skṛ),I,R₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,spelling+homonym,
107,kṛ,2,kṝ,"2 kṛ, kir",I,R₂,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,spelling+homonym,
108,kṛ,3,kṝ,3 kṛ,I,R₂,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,spelling+homonym,
109,kṛt,1,kṛt,1 kṛt,I,R₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,spelling+homonym,
110,kṛt,2,kṛt,2 kṛt,I,R₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,spelling+homonym,
111,kṛp,,kṛp,kṛp,III,R₁,veṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,unique_spelling,
112,kṛś,,kṛś,kṛś,I,R₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
113,kṛṣ,,kṛṣ,kṛṣ,I,R₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
114,kḷp,,kḷp,kḷp,I,L,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
115,knū,,knū,knū,I,U₂,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
116,krakṣ,,krakṣ,krakṣ,II,A₁,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
117,krath,,krath,krath,II,A₁,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
118,krand,,krn̥d,"krand, kland",I,N₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
119,kram,,krm̥̄,kram,I,M₂,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
120,krī,,krī,krī,I,I₂,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
121,krīḍ,,krīḍ,krīḍ,III,I₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,unique_spelling,
122,kru,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
123,krudh,,krudh,krudh,I,U₁,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
124,kruś,,kruś,kruś,I,U₁,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
125,krūḍ,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
126,klath,,klath,klath,II,A₁,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
127,kland,,krn̥d,"krand, kland",I,N₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
128,klam,,klm̥̄,klam,I,M₂,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
129,klav,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
130,klid,,klid,klid,I,I₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
131,kliś,,kliś,kliś,I,I₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
132,kvaṇ,,kvaṇ,kvaṇ,II,N,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
133,kvath,,kvath,kvath,II,A₁,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
134,kṣad,,kṣad,kṣad,II,A₁,aniṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
135,kṣan,,kṣn̥,kṣan,I,N₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
136,kṣap,,kṣap,kṣap,II,A₁,veṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
137,kṣam,,kṣm̥̄,kṣam,I,M₂,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
138,kṣar,,kṣar,kṣar,II,R,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
139,kṣal,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
140,kṣā,,kṣā,kṣā,II,A₂,aniṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
141,kṣi,1,kṣi,1 kṣi,I,I₁,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,spelling+homonym,
142,kṣi,2,kṣi,2 kṣi,I,I₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,spelling+homonym,
143,kṣip,,kṣip,kṣip,I,I₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
144,kṣu,,kṣu,kṣu,I,U₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
145,kṣud,,kṣud,kṣud,I,U₁,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
146,kṣudh,,kṣudh,kṣudh,I,U₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
147,kṣup,,kṣup,kṣup,I,U₁,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
148,kṣubh,,kṣubh,kṣubh,I,U₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
149,kṣṇu,,kṣṇu,kṣṇu,I,U₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
150,kṣmā,,kṣmai,kṣmā,IV,I,seṭ,vrddhi,vrddhi,vrddhi,over-strong,,talmud_appendix1,authorial,unique_spelling,
151,kṣviḍ,,kṣviḍ,kṣviḍ,I,I₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
152,kṣvid,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
153,kṣvel,,kṣvel,kṣvel,II,I,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
154,khac,,khac,khac,II,A₁,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
155,khañj,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
156,khad,,khad,khad,II,A₁,aniṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
157,khan,,khn̥̄,"khan, khā",I,N₂,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
158,kharj,,kharj,kharj,II,R,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
159,khall,,khall,khall,II,A₁,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
160,khā,,khn̥̄,"khan, khā",I,N₂,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
161,khād,,khād,khād,II,A₂,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
162,khid,,khid,khid,I,I₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
163,khud,,khud,khud,I,U₁,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
164,khel,,khel,khel,II,I,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
165,khyā,,khyā,khyā,II,A₂,aniṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
166,gach,,gm̥,"gam, gach",I,M₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
167,gad,,gad,gad,II,A₁,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
168,gadh,,gadh,gadh,II,A₁,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
169,gabh,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
170,gam,,gm̥,"gam, gach",I,M₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
171,garj,,garj,garj,II,R,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
172,gard,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
173,garh,,garh,garh,II,R,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
174,gal,,gal,gal,II,L,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
175,galbh,,galbh,galbh,II,L,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
176,gā,1,gø̄,1 gā,I,A₂,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,spelling+homonym,
177,gā,2,gø̄,2 gā,I,A₂,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,spelling+homonym,
178,gāh,,gāh,gāh,II,A₂,veṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
179,gir,,gṝ,"2 gṛ, gir, gil",I,R₂,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
180,gu,,gu,gu,I,U₁,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
181,guñj,,guñj,guñj,III,U₁,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,unique_spelling,
182,guṇṭh,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
183,gup,,gup,gup,I,U₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
184,guph,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
185,gur,,gur,gur,III,U₁,veṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,unique_spelling,
186,gulph,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
187,guh,,guh,guh,I,U₁,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
188,gūrd,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
189,gūrdh,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
190,gṛ,1,gṝ,1 gṛ,I,R₂,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,spelling+homonym,
191,gṛ,2,gṝ,"2 gṛ, gir, gil",I,R₂,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,spelling+homonym,
192,gṛ,3,jāgṛ,"3 gṛ, jāgṛ",I,R₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,spelling+homonym,
193,gṛdh,,gṛdh,gṛdh,I,R₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
194,gai,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
195,grath,,grn̥th,"grath, granth",I,N₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
196,grabh,,gṛøh,"grabh, grah",I,A₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
197,gras,,gras,gras,II,A₁,veṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
198,glap,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
199,glah,,glah,glah,II,A₁,veṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
200,glā,,glā,glā,II,A₂,aniṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
201,ghaṭ,,ghaṭ,ghaṭ,II,A₁,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
202,ghaṭṭ,,ghaṭṭ,ghaṭṭ,II,A₁,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
203,ghar,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
204,ghas,,ghas,ghas,II,A₁,aniṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
205,ghuṭ,,ghuṭ,ghuṭ,I,U₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
206,ghuṣ,,ghuṣ,ghuṣ,I,U₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
207,ghūrṇ,,ghūrṇ,ghūrṇ,III,U₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,unique_spelling,
208,ghṛ,,ghṛ,ghṛ,I,R₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
209,ghṛṣ,,ghṛṣ,ghṛṣ,I,R₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
210,ghrā,,ghrā,ghrā,II,A₂,aniṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
211,cak,,cak,cak,II,A₁,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
212,cakās,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
213,cakṣ,,cakṣ,cakṣ,II,A₁,aniṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
