whitney_no,root_iast,homonym,talmud_root,talmud_whitney_ref,talmud_tip,talmud_ryad,talmud_set,mp1_grade,mp2_grade,mp3_grade,alternation_class,mp1_deviation,derivation_method,grade_confidence,match_kind,unclassifiable_reason
1,aṃh,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
2,akṣ,1,akṣ,1 akṣ,II,A₁,veṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,spelling+homonym,
3,akṣ,2,akṣ,2 akṣ,II,A₁,veṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,spelling+homonym,
4,aṅg,,n̥g,aṅg,I,N₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
5,ac,,n̥c,"ac, añc",I,N₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
6,aj,,aj,aj,II,A₁,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
7,añj,,n̥j,añj,I,N₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
8,aṭ,,aṭ,aṭ,II,A₁,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
9,aṇṭh,,anṭh,aṇṭh,II,N,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
10,at,,at,at,II,A₁,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
11,ad,,ad,ad,II,A₁,aniṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
12,an,,an,an,II,N,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
13,am,,m̥̄,am,I,M₂,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
14,ay,,i,"1 i, ī, ay",I,I₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
15,arc,,ṛc,"arc, ṛc",I,R₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
16,arj,,ṛj,"ṛj, ṛñj, arj",I,R₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
17,art,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
18,arh,,ṛh,arh,I,R₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
19,av,,o,av,II,U,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
20,aś,1,aś,"1 aś, aṃś",II,A₁,veṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,spelling+homonym,
21,aś,2,aś,2 aś,II,A₁,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,spelling+homonym,
22,as,1,øs,1 as,I,A₁,,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,spelling+homonym,
23,as,2,as,2 as,II,A₁,veṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,spelling+homonym,
24,ah,,ah,ah,II,A₁,,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
25,āñch,,ānch,āñch,IV,N,seṭ,vrddhi,vrddhi,vrddhi,over-strong,,talmud_appendix1,authorial,unique_spelling,
26,āp,,āp,āp,II,A₂,aniṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
27,ār,,ār,ār,IV,R,seṭ,vrddhi,vrddhi,vrddhi,over-strong,,talmud_appendix1,authorial,unique_spelling,
28,ās,,ās,ās,II,A₂,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
29,i,1,i,"1 i, ī, ay",I,I₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,spelling+homonym,
30,i,2,in,"2 i, inv, in",III,I₁,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,spelling+homonym,
31,iṅg,,iṅg,iṅg,III,I₁,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,unique_spelling,
32,ich,,iṣ,"is, ich",I,I₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
33,iṭ,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
34,iḍ,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
35,idh,,idh,"idh, indh",I,I₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
36,in,,in,"2 i, inv, in",III,I₁,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1,authorial,unique_spelling,
37,inakṣ,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
38,iyakṣ,,,,,,,,,,unclassifiable,,,,no_appendix1_entry,no_appendix1_entry
39,irajy,,irajy,irajy,II,A₁,,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
40,iradh,,iradh,iradh,II,A₁,aniṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1,authorial,unique_spelling,
41,il,,il,il,I,I₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
42,iṣ,1,iṣ,2 iṣ,I,I₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
43,iṣ,2,iṣ,2 iṣ,I,I₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
44,ī,,i,"1 i, ī, ay",I,I₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1,authorial,unique_spelling,
