whitney_no,root_slp1,source,dict_L,dict_homonym,dict_class,basis
439,paR,apte,17641,1,I|X,unique-slp1
440,pat,mw,114698,2,I,slp1-shared
440,pat,apte,17662,1,I|IV|X,slp1-shared
441,pat,mw,114698,2,I,slp1-shared
441,pat,apte,17662,1,I|IV|X,slp1-shared
442,paT,apte,17709,1,I|X,unique-slp1
443,pad,mw,115170,2,IV,unique-slp1
443,pad,apte,17718,1,I|IV|X,unique-slp1
444,pan,mw,115833,2,I,unique-slp1
444,pan,apte,17743,1,I,unique-slp1
445,pard,apte,18395,1,I,unique-slp1
446,paS,mw,120516,1,,slp1-shared
447,paS,mw,120516,1,,slp1-shared
448,pA,apte,18548,1,I|II,slp1-shared
449,pA,apte,18548,1,I|II,slp1-shared
450,pA,apte,18548,1,I|II,slp1-shared
451,pAy,mw,122352,,I,unique-slp1
452,pi,apte,18897,1,VI,unique-slp1
453,pinv,apte,18987,1,I,unique-slp1
455,piS,mw,124422,1,VI,unique-slp1
455,piS,apte,19006,1,VI,unique-slp1
456,piz,mw,124541,,VII,unique-slp1
456,piz,apte,19020,1,I|VII|X,unique-slp1
457,pis,apte,19026,1,I|X,unique-slp1
458,pI,mw,124606,2,I|II|III,slp1-shared
458,pI,apte,19028,1,IV,slp1-shared
459,pI,mw,124606,2,I|II|III,slp1-shared
459,pI,apte,19028,1,IV,slp1-shared
460,pIq,mw,124649,,X,unique-slp1
460,pIq,apte,19033,1,X,unique-slp1
461,pIy,mw,124968,,I,unique-slp1
462,puw,mw,125192,,I|VI|X,unique-slp1
462,puw,apte,19080,1,I|VI|X,unique-slp1
463,puT,mw,125645,,IV,unique-slp1
463,puT,apte,19113,1,IV|X,unique-slp1
464,puz,mw,126760,2,I|IV|IX,unique-slp1
464,puz,apte,19186,1,I|IV|IX|X,unique-slp1
465,pU,mw,127307,1,I|IX,unique-slp1
465,pU,apte,19215,1,I|IV|IX,unique-slp1
466,pUj,mw,127377,,I|X,unique-slp1
466,pUj,apte,19221,1,X,unique-slp1
467,pUy,mw,127469,,I,unique-slp1
467,pUy,apte,19239,1,I|IV,unique-slp1
468,pUr,apte,19242,1,IV|X,unique-slp1
469,pf,mw,128300,1,III|IX,slp1-shared
469,pf,apte,19274,1,III|V|VI|IX|X,slp1-shared
470,pf,mw,128300,1,III|IX,slp1-shared
470,pf,apte,19274,1,III|V|VI|IX|X,slp1-shared
471,pf,mw,128300,1,III|IX,slp1-shared
471,pf,apte,19274,1,III|V|VI|IX|X,slp1-shared
472,pfc,mw,128314,1,I|II|III|VII,unique-slp1
472,pfc,apte,19275,1,I|II|VII|X,unique-slp1
477,praC,mw,130824,,VI,unique-slp1
478,praT,mw,134465,1,I,unique-slp1
478,praT,apte,20278,1,I|X,unique-slp1
479,prA,mw,138761,1,II,unique-slp1
480,prI,mw,140436,1,IV|IX,unique-slp1
480,prI,apte,21293,1,I|IV|IX,unique-slp1
481,pru,mw,140856,,I,unique-slp1
481,pru,apte,21300,1,I,unique-slp1
482,pruT,mw,140858,,I,unique-slp1
483,pruz,mw,140871,1,IV|V|IX|X,unique-slp1
483,pruz,apte,21301,1,I|IX,unique-slp1
484,plI,apte,21419,1,IX,unique-slp1
485,plu,mw,141468,,I,unique-slp1
485,plu,apte,21422,1,I,unique-slp1
486,pluz,mw,141564,,I|IV|IX,unique-slp1
486,pluz,apte,21436,1,I|IV|IX,unique-slp1
487,psA,mw,141584,1,II,unique-slp1
487,psA,apte,21445,1,II,unique-slp1
488,Pakk,apte,21451,1,I,unique-slp1
489,PaR,mw,141623,,I,unique-slp1
489,PaR,apte,21457,1,I,unique-slp1
491,Pal,apte,21468,1,I,slp1-shared
492,Pal,apte,21468,1,I,slp1-shared
493,baMh,apte,21528,1,I,unique-slp1
494,banD,mw,142512,,I|IV|IX,unique-slp1
495,bal,apte,21600,1,I|X,unique-slp1
496,bAD,mw,144318,,I,unique-slp1
496,bAD,apte,21680,1,I,unique-slp1
497,buD,mw,145569,1,I|IV,unique-slp1
497,buD,apte,21803,1,I|IV,unique-slp1
498,bul,apte,21823,1,X,unique-slp1
499,bfMh,apte,21832,1,I|VI|X,unique-slp1
500,bfh,apte,21835,1,I|VI,slp1-shared
501,bfh,apte,21835,1,I|VI,slp1-shared
502,brU,mw,147490,,II,unique-slp1
502,brU,apte,21885,1,II,unique-slp1
504,Bakz,mw,147534,,I|X,unique-slp1
504,Bakz,apte,21896,1,X,unique-slp1
505,Baj,mw,147598,,I,unique-slp1
505,Baj,apte,21930,1,I|X,unique-slp1
506,BaYj,mw,147928,1,VII,unique-slp1
507,Baw,apte,21940,1,I|X,unique-slp1
508,BaR,mw,148185,,I,unique-slp1
508,BaR,apte,21950,1,I,unique-slp1
509,Ban,apte,21966,1,I,unique-slp1
510,Band,mw,148252,,I,unique-slp1
511,Barts,mw,148908,,I|X,unique-slp1
511,Barts,apte,21999,1,X,unique-slp1
513,Bal,apte,22006,1,I|X,unique-slp1
514,Baz,mw,149277,,I,unique-slp1
514,Baz,apte,22035,1,I,unique-slp1
515,Bas,mw,149289,1,III,unique-slp1
515,Bas,apte,22038,1,I|III,unique-slp1
516,BA,mw,149418,1,II,unique-slp1
516,BA,apte,22053,1,II,unique-slp1
517,BAm,apte,22104,1,I,unique-slp1
518,BAz,mw,150479,1,I,unique-slp1
518,BAz,apte,22145,1,I,unique-slp1
519,BAs,mw,150552,1,I,unique-slp1
519,BAs,apte,22154,1,I,unique-slp1
520,Bikz,mw,150663,,I,unique-slp1
520,Bikz,apte,22167,1,I,unique-slp1
521,Bid,mw,150727,1,I|VII,unique-slp1
521,Bid,apte,22174,1,I|VII,unique-slp1
523,BI,mw,150969,1,I|III|X,unique-slp1
523,BI,apte,22197,1,III,unique-slp1
524,Buj,apte,22220,1,VI|VII,slp1-shared
525,Buj,mw,151348,3,VI|VII,class
525,Buj,apte,22220,1,VI|VII,slp1-shared
526,Bur,mw,151434,,,unique-slp1
528,BU,mw,151456,1,I,unique-slp1
528,BU,apte,22244,1,I|X,unique-slp1
529,BUz,mw,152466,,I,unique-slp1
529,BUz,apte,22270,1,I|X,unique-slp1
530,Bf,mw,152494,1,I|II|III,unique-slp1
530,Bf,apte,22275,1,III,unique-slp1
532,Byas,apte,22371,1,I,unique-slp1
533,BraMS,mw,153448,,I|IV,unique-slp1
533,BraMS,apte,22372,1,I|IV,unique-slp1
534,Bram,mw,153524,,I|IV,unique-slp1
534,Bram,apte,22385,1,I|IV,unique-slp1
535,BrAj,mw,153678,1,I,unique-slp1
535,BrAj,apte,22398,1,I,unique-slp1
536,BrI,mw,153766,,IX,unique-slp1
536,BrI,apte,22428,1,IX,unique-slp1
537,Brez,mw,153856,,I,unique-slp1
537,Brez,apte,22434,1,I,unique-slp1
538,maMh,mw,153892,,I|X,unique-slp1
538,maMh,apte,22440,1,I,unique-slp1
539,majj,mw,154347,,VI,unique-slp1
541,maR,apte,22524,1,I,unique-slp1
543,maRq,mw,154854,,I,unique-slp1
544,maT,mw,155187,1,I|IX,unique-slp1
545,mad,mw,155288,2,I|III|IV,unique-slp1
545,mad,apte,22581,1,IV|X,unique-slp1
546,man,mw,156626,,IV|VIII,unique-slp1
546,man,apte,22629,1,I|IV|VIII|X,unique-slp1
547,mah,mw,159151,1,I|X,unique-slp1
547,mah,apte,22848,1,I|X,unique-slp1
548,mA,apte,22884,1,II|III|IV,slp1-shared
549,mA,apte,22884,1,II|III|IV,slp1-shared
550,mA,apte,22884,1,II|III|IV,slp1-shared
551,mArg,mw,163363,,I|X,unique-slp1
551,mArg,apte,23045,1,I|X,unique-slp1
553,mi,mw,164084,1,V,unique-slp1
553,mi,apte,23136,1,V,unique-slp1
556,miT,mw,164311,,I,unique-slp1
556,miT,apte,23153,1,I,unique-slp1
557,mid,mw,164438,2,I|IV|X,unique-slp1
557,mid,apte,23165,1,I|IV|X,unique-slp1
558,mil,mw,164465,,VI,unique-slp1
558,mil,apte,23172,1,VI,unique-slp1
559,miz,mw,164547,1,VI,unique-slp1
559,miz,apte,23185,1,I|VI,unique-slp1
560,mih,mw,164576,1,I,unique-slp1
560,mih,apte,23188,1,I,unique-slp1
561,mI,mw,164607,1,IX,unique-slp1
561,mI,apte,23193,1,IV|IX|X,unique-slp1
562,mIl,mw,164715,,I,unique-slp1
562,mIl,apte,23204,1,I,unique-slp1
563,mIv,mw,164724,1,I,unique-slp1
563,mIv,apte,23207,1,I,unique-slp1
564,muc,mw,165082,2,VI,unique-slp1
564,muc,apte,23241,1,I|VI,unique-slp1
565,muw,apte,23253,1,I|VI|X,unique-slp1
566,mud,mw,165450,2,I,unique-slp1
566,mud,apte,23265,1,I|X,unique-slp1
567,muz,mw,165859,2,I|VI|IX,unique-slp1
567,muz,apte,23306,1,I|IV|IX,unique-slp1
568,muh,mw,166006,1,IV,unique-slp1
568,muh,apte,23332,1,IV,unique-slp1
569,mU,apte,23342,1,I,unique-slp1
571,mf,mw,166607,,I|VI,slp1-shared
571,mf,apte,23385,1,VI,slp1-shared
572,mf,mw,166607,,I|VI,slp1-shared
572,mf,apte,23385,1,VI,slp1-shared
576,mfj,mw,167121,1,I|II|VI|X,unique-slp1
576,mfj,apte,23397,1,I|II|X,unique-slp1
577,mfq,mw,167161,,VI|IX|X,unique-slp1
577,mfq,apte,23401,1,VI|IX,unique-slp1
578,mfR,apte,23406,1,VI,unique-slp1
579,mfd,mw,167219,1,I|IX,unique-slp1
579,mfd,apte,23422,1,IX,unique-slp1
580,mfD,mw,167410,1,I|VI,unique-slp1
580,mfD,apte,23437,1,I,unique-slp1
581,mfS,mw,167423,1,VI,unique-slp1
581,mfS,apte,23441,1,VI,unique-slp1
582,mfz,mw,167430,1,I|IV|X,unique-slp1
582,mfz,apte,23442,1,I|IV|X,unique-slp1
584,mokz,mw,168318,,I|X,unique-slp1
584,mokz,apte,23528,1,I|X,unique-slp1
585,mnA,mw,168870,,I,unique-slp1
585,mnA,apte,23601,1,I,unique-slp1
586,myakz,mw,168872,,I,unique-slp1
587,mrad,mw,168881,,I,unique-slp1
587,mrad,apte,23606,1,I,unique-slp1
589,mruc,mw,168891,,I,unique-slp1
589,mruc,apte,23608,1,I,unique-slp1
592,mluc,mw,168901,,I,unique-slp1
594,mleC,mw,168905,,I|X,unique-slp1
595,yakz,apte,23630,1,I|X,unique-slp1
597,yaj,mw,169114,1,I,unique-slp1
597,yaj,apte,23637,1,I,unique-slp1
598,yat,mw,169552,2,I|X,unique-slp1
598,yat,apte,23658,1,I,unique-slp1
599,yaB,mw,170253,,I,unique-slp1
599,yaB,apte,23692,1,I,unique-slp1
600,yam,mw,170258,,I,unique-slp1
600,yam,apte,23694,1,I,unique-slp1
601,yas,mw,171002,,IV,unique-slp1
601,yas,apte,23735,1,I|IV,unique-slp1
603,yA,mw,171018,1,II,unique-slp1
603,yA,apte,23738,1,II,unique-slp1
604,yAc,mw,171236,,I,unique-slp1
604,yAc,apte,23741,1,I,unique-slp1
606,yu,mw,171694,2,II|VI|IX,class
606,yu,apte,23819,1,II|III|IX|X,slp1-shared
607,yu,apte,23819,1,II|III|IX|X,slp1-shared
608,yuj,mw,171731,1,VII,unique-slp1
608,yuj,apte,23832,1,I|IV|VII|X,unique-slp1
609,yuD,mw,172012,1,I|IV,unique-slp1
609,yuD,apte,23840,1,IV,unique-slp1
610,yup,mw,172139,,IV,unique-slp1
610,yup,apte,23850,1,IV,unique-slp1
611,yez,apte,23867,1,I,unique-slp1
612,raMh,mw,173028,,I|X,unique-slp1
612,raMh,apte,23914,1,I|X,unique-slp1
613,rakz,mw,173050,1,I,unique-slp1
613,rakz,apte,23927,1,I,unique-slp1
615,rac,mw,173266,,X,unique-slp1
615,rac,apte,23950,1,X,unique-slp1
619,raw,mw,174063,,I,unique-slp1
619,raw,apte,23972,1,I,unique-slp1
621,rad,mw,174789,,I,unique-slp1
621,rad,apte,23998,1,I,unique-slp1
622,raD,mw,174809,,IV,unique-slp1
622,raD,apte,24001,1,IV,unique-slp1
625,rap,mw,174860,,I,unique-slp1
625,rap,apte,24010,1,I,unique-slp1
626,rapS,mw,174863,,,unique-slp1
627,raP,mw,174867,,I,unique-slp1
627,raP,apte,24012,1,I,unique-slp1
628,raB,mw,174870,,I,unique-slp1
628,raB,apte,24013,1,I,unique-slp1
629,ram,mw,174928,,I,unique-slp1
629,ram,apte,24016,1,I,unique-slp1
633,ras,mw,175478,1,I,class
633,ras,apte,24044,1,I|X,unique-slp1
634,rah,mw,175925,,I|X,unique-slp1
634,rah,apte,24061,1,I|X,unique-slp1
635,rA,mw,176008,1,II,slp1-shared
635,rA,apte,24067,1,II,slp1-shared
636,rA,mw,176008,1,II,slp1-shared
636,rA,apte,24067,1,II,slp1-shared
637,rAj,mw,176246,1,I,unique-slp1
637,rAj,apte,24081,1,I,unique-slp1
638,rAD,mw,177153,,IV|V,unique-slp1
638,rAD,apte,24112,1,IV|V,unique-slp1
639,rAs,mw,177844,1,I,slp1-shared
639,rAs,apte,24143,1,I,slp1-shared
640,rAs,mw,177844,1,I,slp1-shared
640,rAs,apte,24143,1,I,slp1-shared
641,ri,apte,24152,1,V|VI|IX,unique-slp1
642,riK,mw,177953,,I|VI,unique-slp1
644,ric,mw,177975,,I|IV|VII|X,unique-slp1
644,ric,apte,24165,1,I|VII|X,unique-slp1
645,rip,mw,178040,1,,unique-slp1
646,riP,mw,178088,,VI,unique-slp1
646,riP,apte,24171,1,VI,unique-slp1
647,riB,mw,178103,,I,unique-slp1
647,riB,apte,24172,1,I,unique-slp1
648,riS,mw,178131,,VI,unique-slp1
648,riS,apte,24178,1,VI,unique-slp1
649,riz,mw,178139,1,I|IV,unique-slp1
649,riz,apte,24182,1,I|IV,unique-slp1
650,rih,mw,178173,,II|VI,unique-slp1
650,rih,apte,24189,1,I,unique-slp1
651,rI,mw,178179,1,IV|IX,unique-slp1
651,rI,apte,24191,1,IV|IX,unique-slp1
652,ru,apte,24199,1,I|II,slp1-shared
653,ru,apte,24199,1,I|II,slp1-shared
654,ruc,mw,178244,1,I,unique-slp1
654,ruc,apte,24208,1,I,unique-slp1
655,ruj,mw,178446,1,VI|X,unique-slp1
655,ruj,apte,24217,1,VI|X,unique-slp1
656,ruW,mw,178489,,I,unique-slp1
656,ruW,apte,24221,1,I,unique-slp1
657,rud,mw,178506,1,II,unique-slp1
657,rud,apte,24227,1,II,unique-slp1
658,ruD,mw,178751,1,I,class
658,ruD,apte,24234,1,I|VII,slp1-shared
659,ruD,apte,24234,1,I|VII,slp1-shared
660,rup,mw,178856,1,IV,unique-slp1
660,rup,apte,24237,1,IV,unique-slp1
661,ruz,mw,178916,1,I|IV|X,unique-slp1
661,ruz,apte,24244,1,I|IV,unique-slp1
662,ruh,mw,178960,1,I,unique-slp1
662,ruh,apte,24248,1,I,unique-slp1
663,rUz,mw,179276,,I|X,unique-slp1
663,rUz,apte,24267,1,I|X,unique-slp1
664,rej,mw,179363,1,I,unique-slp1
664,rej,apte,24281,1,I,unique-slp1
666,reB,apte,24297,1,I,unique-slp1
667,lakz,mw,180331,,I|X,unique-slp1
667,lakz,apte,24386,1,I|X,unique-slp1
668,lag,mw,180704,,I|X,unique-slp1
668,lag,apte,24400,1,I|X,unique-slp1
669,laNG,mw,181121,,I|X,unique-slp1
670,lajj,mw,181156,,VI,unique-slp1
670,lajj,apte,24432,1,VI,unique-slp1
671,laq,apte,24452,1,I|X,unique-slp1
672,lap,mw,181338,1,I,unique-slp1
672,lap,apte,24462,1,I,unique-slp1
673,laB,mw,181359,,I,unique-slp1
673,laB,apte,24467,1,I,unique-slp1
675,lamb,mw,181488,1,I,unique-slp1
676,lal,mw,181587,,I,unique-slp1
676,lal,apte,24493,1,I|X,unique-slp1
677,laz,mw,181985,,I|IV|X,unique-slp1
677,laz,apte,24527,1,I|IV|X,unique-slp1
678,las,mw,181992,1,I|X,unique-slp1
678,las,apte,24530,1,I,unique-slp1
679,lA,mw,182054,1,II,unique-slp1
679,lA,apte,24541,1,II,unique-slp1
680,lAYC,mw,182184,,I,unique-slp1
681,liK,mw,182337,,VI,unique-slp1
681,liK,apte,24618,1,VI,unique-slp1
682,lip,mw,182615,,I|VI,unique-slp1
682,lip,apte,24634,1,VI,unique-slp1
683,liS,mw,182704,1,IV|VI,unique-slp1
683,liS,apte,24649,1,IV|VI,unique-slp1
684,lih,mw,182726,1,II,unique-slp1
684,lih,apte,24652,1,II,unique-slp1
685,lI,mw,182753,1,I|IV|IX,slp1-shared
685,lI,apte,24654,1,I|IV|IX,slp1-shared
686,lI,mw,182753,1,I|IV|IX,slp1-shared
686,lI,apte,24654,1,I|IV|IX,slp1-shared
687,luYc,mw,182888,,I,unique-slp1
688,luW,mw,182908,2,VI,class
688,luW,apte,24670,1,I|VI|X,slp1-shared
689,luW,mw,182907,1,I|X,class
689,luW,apte,24670,1,I|VI|X,slp1-shared
690,luq,mw,182922,,I|VI,unique-slp1
690,luq,apte,24673,1,I|VI,unique-slp1
691,lup,mw,182956,1,IV|VI,unique-slp1
691,lup,apte,24687,1,IV|VI,unique-slp1
692,luB,mw,183010,,IV|VI,unique-slp1
692,luB,apte,24689,1,IV|VI,unique-slp1
693,lul,mw,183058,,I,unique-slp1
693,lul,apte,24695,1,I,unique-slp1
694,lU,mw,183125,1,IX,unique-slp1
694,lU,apte,24701,1,IX,unique-slp1
695,lok,mw,183229,,I|X,unique-slp1
695,lok,apte,24744,1,I|X,unique-slp1
696,loc,mw,183561,,I|X,unique-slp1
696,loc,apte,24750,1,I|X,unique-slp1
698,vakz,mw,184521,,I,unique-slp1
698,vakz,apte,24839,1,I,unique-slp1
699,vac,mw,184615,,II|III,unique-slp1
699,vac,apte,24857,1,II,unique-slp1
700,vaj,apte,24874,1,I|X,unique-slp1
701,vaYc,mw,185127,,I,unique-slp1
702,vaRw,mw,185343,,I|X,unique-slp1
704,vad,mw,185521,,I,unique-slp1
704,vad,apte,24938,1,I,unique-slp1
705,vaD,mw,185579,,,unique-slp1
705,vaD,apte,24950,1,I,unique-slp1
706,van,mw,185710,1,I|VIII,unique-slp1
706,van,apte,24967,1,I|VIII|X,unique-slp1
707,vand,mw,186179,,I,unique-slp1
708,vap,apte,25005,1,I,slp1-shared
709,vap,apte,25005,1,I,slp1-shared
710,vam,mw,186417,,I,unique-slp1
710,vam,apte,25021,1,I,unique-slp1
711,val,mw,188075,,I,unique-slp1
711,val,apte,25191,1,I,unique-slp1
712,valg,mw,188205,,I,unique-slp1
712,valg,apte,25220,1,I,unique-slp1
713,valh,apte,25247,1,I|X,unique-slp1
714,vaS,mw,188394,,I|II|III,unique-slp1
714,vaS,apte,25249,1,II,unique-slp1
715,vas,apte,25269,1,I|II|IV|X,slp1-shared
716,vas,apte,25269,1,I|II|IV|X,slp1-shared
717,vas,mw,189096,5,I|X,class
717,vas,apte,25269,1,I|II|IV|X,slp1-shared
718,vah,mw,189238,1,I,unique-slp1
718,vah,apte,25305,1,I,unique-slp1
719,vA,mw,189436,2,II,slp1-shared
719,vA,apte,25325,1,II|IV|X,slp1-shared
720,vA,mw,189436,2,II,slp1-shared
720,vA,apte,25325,1,II|IV|X,slp1-shared
722,vAYC,mw,190461,,I,unique-slp1
723,vAS,mw,192249,,IV,unique-slp1
723,vAS,apte,25533,1,IV,unique-slp1
724,vAh,mw,192697,1,I,unique-slp1
724,vAh,apte,25578,1,I,unique-slp1
725,vic,mw,194682,,III|VII,slp1-shared
725,vic,apte,25755,1,III|VII,slp1-shared
726,vic,mw,194682,,III|VII,slp1-shared
726,vic,apte,25755,1,III|VII,slp1-shared
727,vij,mw,194956,1,I|III|VI,unique-slp1
727,vij,apte,25806,1,III|VI|VII,unique-slp1
728,vid,apte,25920,1,II|IV|VI|VII|X,slp1-shared
729,vid,apte,25920,1,II|IV|VI|VII|X,slp1-shared
730,viD,apte,25978,1,I|VI,slp1-shared
731,viD,apte,25978,1,I|VI,slp1-shared
733,vip,mw,197416,1,I,unique-slp1
733,vip,apte,26098,1,X,unique-slp1
734,viS,mw,200376,1,VI,unique-slp1
734,viS,apte,26517,1,VI,unique-slp1
735,viz,mw,201614,1,I|III,class
735,viz,apte,26608,1,I|III|IX,unique-slp1
737,vI,mw,203329,1,II,unique-slp1
737,vI,apte,26780,1,II,unique-slp1
738,vIj,mw,203453,,I|X,unique-slp1
738,vIj,apte,26790,1,I|X,unique-slp1
739,vIq,mw,203469,,,unique-slp1
740,vf,apte,26835,1,I|V|IX|X,slp1-shared
741,vf,apte,26835,1,I|V|IX|X,slp1-shared
743,vfj,mw,204309,1,I|II|VII,unique-slp1
743,vfj,apte,26847,1,I|II|VII|X,unique-slp1
744,vft,mw,204340,1,I,unique-slp1
744,vft,apte,26851,1,I|IV|X,unique-slp1
745,vfD,mw,204573,,I|X,unique-slp1
745,vfD,apte,26857,1,I|X,unique-slp1
746,vfz,mw,204858,,I,unique-slp1
746,vfz,apte,26876,1,I|X,unique-slp1
748,ven,mw,206222,,I,unique-slp1
748,ven,apte,26959,1,I,unique-slp1
749,vell,mw,206315,,I,unique-slp1
749,vell,apte,26972,1,I,unique-slp1
750,vezw,mw,206478,,I,unique-slp1
750,vezw,apte,26991,1,I,unique-slp1
751,vyac,mw,208354,1,III|VI,unique-slp1
751,vyac,apte,27187,1,VI,unique-slp1
753,vyaT,mw,208633,,I,unique-slp1
753,vyaT,apte,27224,1,I,unique-slp1
754,vyaD,mw,208671,,IV,unique-slp1
754,vyaD,apte,27229,1,IV,unique-slp1
755,vyay,apte,27269,1,I|X,unique-slp1
757,vraj,mw,210432,,I|X,unique-slp1
757,vraj,apte,27464,1,I|X,unique-slp1
760,vraSc,mw,210711,,VI,unique-slp1
760,vraSc,apte,27478,1,VI,unique-slp1
762,vrIq,mw,210765,,I|IV|X,unique-slp1
762,vrIq,apte,27486,1,IV,unique-slp1
763,vruq,apte,27492,1,VI,unique-slp1
765,vlI,mw,210822,,IX,unique-slp1
765,vlI,apte,27495,1,IX,unique-slp1
766,SaMs,mw,210841,,I,unique-slp1
766,SaMs,apte,27500,1,I,unique-slp1
767,Sak,mw,210897,,V,unique-slp1
767,Sak,apte,27507,1,IV|V,unique-slp1
768,SaNk,mw,211426,,I,unique-slp1
770,Sad,mw,212483,2,I|VI,slp1-shared
770,Sad,apte,27593,1,I,slp1-shared
771,Sad,mw,212483,2,I|VI,slp1-shared
771,Sad,apte,27593,1,I,slp1-shared
772,Sap,mw,212543,3,I|IV,unique-slp1
772,Sap,apte,27604,1,I|IV,unique-slp1
773,Sam,mw,212911,1,IV|IX,slp1-shared
773,Sam,apte,27619,1,IV|IX|X,slp1-shared
774,Sam,mw,212911,1,IV|IX,slp1-shared
774,Sam,apte,27619,1,IV|IX|X,slp1-shared
775,Sam,mw,212911,1,IV|IX,slp1-shared
775,Sam,apte,27619,1,IV|IX|X,slp1-shared
776,Sal,apte,27697,1,I|X,unique-slp1
777,SaS,apte,27725,1,I,unique-slp1
778,Sas,mw,214531,1,I,unique-slp1
778,Sas,apte,27734,1,I|II,unique-slp1
780,SAs,mw,216290,1,II,slp1-shared
780,SAs,apte,27898,1,II,slp1-shared
781,SAs,mw,216290,1,II,slp1-shared
781,SAs,apte,27898,1,II,slp1-shared
782,Sikz,mw,216517,,I,unique-slp1
782,Sikz,apte,27919,1,I,unique-slp1
784,SiYj,mw,216845,,I|II|X,unique-slp1
787,Siz,mw,218104,2,VII|X,unique-slp1
787,Siz,apte,28011,1,I|VII|X,unique-slp1
788,SI,mw,218170,1,I|II,slp1-shared
788,SI,apte,28016,1,II,slp1-shared
789,SI,mw,218170,1,I|II,slp1-shared
789,SI,apte,28016,1,II,slp1-shared
790,Suc,mw,219184,1,I|IV,unique-slp1
790,Suc,apte,28071,1,I|IV,unique-slp1
792,SuD,mw,219366,,I|IV,unique-slp1
792,SuD,apte,28092,1,IV,unique-slp1
793,SuB,mw,219616,1,I|VI,unique-slp1
793,SuB,apte,28106,1,I,unique-slp1
794,Suz,mw,219943,1,IV,class
794,Suz,apte,28129,1,IV,slp1-shared
795,Suz,apte,28129,1,IV,slp1-shared
800,SfD,mw,220772,,I,unique-slp1
800,SfD,apte,28196,1,I|X,unique-slp1
803,Scut,mw,221945,1,I,unique-slp1
804,SnaT,mw,221953,,I,unique-slp1
806,SraT,mw,222382,,IX,unique-slp1
806,SraT,apte,28348,1,I|IX|X,unique-slp1
808,Sram,mw,222401,1,IV,unique-slp1
808,Sram,apte,28360,1,IV,unique-slp1
810,SrA,mw,222686,,I|II|IV,unique-slp1
810,SrA,apte,28374,1,II,unique-slp1
811,Sri,mw,222829,1,I,unique-slp1
811,Sri,apte,28392,1,I,unique-slp1
812,Sriz,apte,28395,1,I,unique-slp1
813,SrI,mw,222857,1,IX,slp1-shared
813,SrI,apte,28396,1,IX,slp1-shared
814,SrI,mw,222857,1,IX,slp1-shared
814,SrI,apte,28396,1,IX,slp1-shared
815,Sru,mw,223393,1,V,unique-slp1
815,Sru,apte,28402,1,I|V,unique-slp1
817,SlaT,mw,223994,,I,unique-slp1
817,SlaT,apte,28436,1,X,unique-slp1
819,SlAG,mw,224011,,I,unique-slp1
819,SlAG,apte,28439,1,I,unique-slp1
820,Sliz,mw,224043,2,IV,unique-slp1
820,Sliz,apte,28446,1,I|IV|X,unique-slp1
822,Svas,mw,224373,1,II,unique-slp1
822,Svas,apte,28483,1,II,unique-slp1
824,Svit,apte,28499,1,I,unique-slp1
827,saG,apte,28843,1,V,unique-slp1
828,sac,mw,228852,1,I,unique-slp1
828,sac,apte,28949,1,I|III,unique-slp1
830,sad,mw,230505,2,I|VI,unique-slp1
830,sad,apte,29078,1,I|VI,unique-slp1
831,san,mw,231023,1,I|VIII,unique-slp1
831,san,apte,29105,1,I|VIII,unique-slp1
832,sap,mw,232210,1,I,unique-slp1
832,sap,apte,29252,1,I,unique-slp1
833,sarj,apte,29848,1,I,unique-slp1
834,saSc,apte,29920,1,I,unique-slp1
835,sas,mw,239787,,II,unique-slp1
835,sas,apte,29923,1,II,unique-slp1
836,sah,mw,239967,1,I|X,unique-slp1
836,sah,apte,29936,1,I|IV,unique-slp1
839,sAD,mw,241500,1,I|IV|V,unique-slp1
839,sAD,apte,30037,1,IV|V,unique-slp1
840,si,mw,243722,1,V|IX,unique-slp1
840,si,apte,30260,1,V|IX,unique-slp1
841,sic,mw,244032,1,VI,unique-slp1
841,sic,apte,30276,1,VI,unique-slp1
842,siD,mw,244298,2,I,class
842,siD,apte,30288,1,I|IV,slp1-shared
843,siD,mw,244301,3,IV,class
843,siD,apte,30288,1,I|IV,slp1-shared
846,su,mw,245241,3,V,unique-slp1
846,su,apte,30352,1,I|II,unique-slp1
849,sU,apte,30417,1,II|IV|VI,unique-slp1
850,sUd,mw,251301,1,I|X,unique-slp1
850,sUd,apte,30453,1,I|X,unique-slp1
851,sUrkz,apte,30473,1,I|IV,unique-slp1
852,sf,mw,251838,,I|III|X,unique-slp1
852,sf,apte,30483,1,I|III,unique-slp1
854,sfj,mw,251924,1,VI,unique-slp1
854,sfj,apte,30499,1,IV|VI,unique-slp1
855,sfp,mw,252008,,I,unique-slp1
855,sfp,apte,30511,1,I,unique-slp1
856,sev,mw,252262,,I,unique-slp1
856,sev,apte,30543,1,I,unique-slp1
857,skand,mw,254077,,I,unique-slp1
858,skamB,mw,254241,,I|V|IX,unique-slp1
859,sku,mw,254257,,V|IX,unique-slp1
859,sku,apte,30723,1,V|IX,unique-slp1
861,sKal,mw,254272,,I,unique-slp1
861,sKal,apte,30728,1,I,unique-slp1
862,stan,mw,254307,,I,unique-slp1
862,stan,apte,30733,1,I|X,unique-slp1
863,stamB,mw,254463,,I|V|IX,unique-slp1
865,stiG,mw,254590,,V,unique-slp1
865,stiG,apte,30768,1,V,unique-slp1
