whitney_no,root_slp1,source,dict_L,dict_homonym,dict_class,basis
30,i,apte,7286,1,I|II|IV,slp1-shared
31,iNg,mw,28638,,I,unique-slp1
33,iw,mw,28677,,I,unique-slp1
33,iw,apte,7316,1,I,unique-slp1
36,in,apte,7354,1,VI|VIII,unique-slp1
41,il,mw,29396,,VI|X,unique-slp1
41,il,apte,7420,1,VI|X,unique-slp1
42,iz,apte,7431,1,I|IV|VI|IX,slp1-shared
43,iz,apte,7431,1,I|IV|VI|IX,slp1-shared
44,I,apte,7476,1,II|IV,unique-slp1
45,Ikz,mw,29695,,I,unique-slp1
45,Ikz,apte,7477,1,I,unique-slp1
46,INK,mw,29714,,I,unique-slp1
47,Ij,mw,29717,,I,unique-slp1
47,Ij,apte,7488,1,I,unique-slp1
48,Iq,mw,29721,1,II,unique-slp1
48,Iq,apte,7490,1,II,unique-slp1
49,Ir,mw,29761,,II,unique-slp1
49,Ir,apte,7506,1,I|II|X,unique-slp1
50,Irzy,mw,29797,,I,unique-slp1
50,Irzy,apte,7517,1,I,unique-slp1
51,IS,mw,29827,1,II,unique-slp1
51,IS,apte,7523,1,II,unique-slp1
52,Iz,mw,29921,1,I,unique-slp1
52,Iz,apte,7534,1,I,unique-slp1
53,Ih,mw,29985,,I,unique-slp1
53,Ih,apte,7543,1,I,unique-slp1
54,u,mw,30001,4,I|II|V,unique-slp1
54,u,apte,7547,1,I|V,unique-slp1
55,ukz,mw,30072,1,I,slp1-shared
55,ukz,apte,7556,1,I|VI,slp1-shared
56,ukz,mw,30072,1,I,slp1-shared
56,ukz,apte,7556,1,I|VI,slp1-shared
57,uc,mw,30209,,IV,unique-slp1
57,uc,apte,7574,1,IV,unique-slp1
60,uYC,mw,30615,,I|VI,unique-slp1
61,ud,mw,32059,2,VI|VII,unique-slp1
62,ubj,mw,37050,,VI,unique-slp1
62,ubj,apte,9172,1,VI,unique-slp1
63,uB,mw,37051,,VI|IX,unique-slp1
63,uB,apte,9173,1,VI|VII|IX,unique-slp1
64,uz,mw,37688,1,I|IX,slp1-shared
64,uz,apte,9308,1,I,slp1-shared
65,uz,mw,37688,1,I|IX,slp1-shared
65,uz,apte,9308,1,I,slp1-shared
66,UrRu,mw,38079,,II,unique-slp1
66,UrRu,apte,9375,1,II,unique-slp1
67,Uh,apte,9405,1,I,slp1-shared
68,Uh,apte,9405,1,I,slp1-shared
69,f,mw,38410,4,I|III|V,unique-slp1
69,f,apte,9413,1,I|III|V,unique-slp1
