id,root,type,whitney,dcs,corpus_signal,corpus_backs,tokens
170,gam,class,1|2,6,I/VI,ambiguous,18341
815,śru,class,2|5,4,VIII,ambiguous,10505
608,yuj,class,2|6|7,1,II/III (athematic),ambiguous,5933
269,jñā,class,1|9,4,IX,Whitney,5041
546,man,class,3|4|8,1,I/VI,DCS,4697
258,1 ji,class,1|2,9,X/caus-denom,ambiguous,4082
259,2 ji,class,1|2,9,X/caus-denom,ambiguous,4082
477,prach,class,6,1,I/VI,ambiguous,2851
909,har,class,4,2|9,I/VI,ambiguous,2792
854,sṛj,class,1|6,2,I/VI,Whitney,2749
494,bandh,class,1|9,4,IX,Whitney,2654
571,1 mṛ,class,1,4|9,IV,DCS,2615
572,2 mṛ,class,1,4|9,IV,DCS,2615
324,tyaj,class,1,3,I/VI,Whitney,2417
792,śudh,class,1|2|4,7,IV,Whitney,2410
26,āp,class,5,1,V,Whitney,2314
242,chid,class,7,1,II/III (athematic),ambiguous,2139
521,bhid,class,7,3,II/III (athematic),ambiguous,2047
767,śak,class,5,4,V,Whitney,1952
20,1 aś,class,5|9,1,V,Whitney,1948
21,2 aś,class,5|9,1,V,Whitney,1948
613,rakṣ,class,1,4,I/VI,Whitney,1929
724,vāh,class,1,2,I/VI,Whitney,1845
766,śaṃs,class,1,2,I/VI,Whitney,1785
250,jap,class,1,4,I/VI,Whitney,1702
745,vṛdh,class,1,6,I/VI,ambiguous,1619
629,ram,class,1|9,4,I/VI,Whitney,1553
388,dviṣ,class,2|6,1,I/VI,ambiguous,1343
856,sev,class,1,4,VIII,ambiguous,1328
705,vadh,class,1,4,I/VI,Whitney,1236
402,dhṛ,class,1,4,I/VI,Whitney,1229
141,1 kṣi,class,1|2|6,4,II/III (athematic),ambiguous,1181
142,2 kṣi,class,1|2|6,4,II/III (athematic),ambiguous,1181
405,dhyā,class,2|4,3,IV,Whitney,1164
600,yam,class,1|2,6,I/VI,ambiguous,1093
384,dru,class,1,9,I/VI,Whitney,1073
456,piṣ,class,6|7,1,I/VI,ambiguous,1062
457,pis,class,4,1,I/VI,DCS,1062
734,viś,class,6,3,I/VI,Whitney,1053
830,sad,class,1|2,6,I/VI,ambiguous,953
846,su,class,3|5,6,V,Whitney,878
369,duh,class,2|4|6,1,I/VI,ambiguous,806
682,lip,class,6,4,I/VI,Whitney,778
165,khyā,class,2,4,II/III (athematic),ambiguous,777
790,śuc,class,1|2|4,6,I/VI,ambiguous,777
506,bhañj,class,7,4,II/III (athematic),ambiguous,754
841,sic,class,1|6,4,I/VI,Whitney,687
813,1 śrī,class,9,4,II/III (athematic),ambiguous,644
814,2 śrī,class,9,4,II/III (athematic),ambiguous,644
779,śā,class,3|6,4,I/VI,Whitney,519
45,īkṣ,class,1,4,I/VI,Whitney,473
187,guh,class,1,6,I/VI,ambiguous,468
120,krī,class,9,1,II/III (athematic),ambiguous,439
464,puṣ,class,1|4|9,6,IV,Whitney,438
684,lih,class,2|6,4,I/VI,Whitney,405
75,ṛdh,class,4|5|7,6,V,Whitney,392
156,khad,class,6,1,I/VI,ambiguous,369
157,khan,class,1,2,I/VI,Whitney,352
431,nud,class,6,7,I/VI,Whitney,332
576,mṛj,class,1|2|6|7,3,I/VI,Whitney,298
227,cit,class,1,3,I/VI,Whitney,266
124,kruś,class,1,4,I/VI,Whitney,238
138,kṣar,class,1,2,I/VI,Whitney,220
90,kāṅkṣ,class,1,2,I/VI,Whitney,202
55,1 ukṣ,class,6,4,I/VI,Whitney,191
56,2 ukṣ,class,6,4,I/VI,Whitney,191
794,1 śuṣ,class,4,6,IV,Whitney,166
795,2 śuṣ,class,4,6,IV,Whitney,166
476,pyā,class,4,2,I/VI,ambiguous,165
504,bhakṣ,class,1,4,I/VI,Whitney,162
209,ghṛṣ,class,1,4,I/VI,Whitney,156
222,carv,class,4,1,,ambiguous,151
582,mṛṣ,class,1|4,2,IV,Whitney,150
443,pad,class,2|4,1,IV,Whitney,134
896,sraṃs,class,1,9,I/VI,Whitney,133
670,lajj,class,6,1,I/VI,ambiguous,109
342,dabh,class,1|5,4,II/III (athematic),ambiguous,96
820,śliṣ,class,1|4,6,IV,Whitney,92
365,du,class,5,4,V,Whitney,82
694,lū,class,5|9,8,V,Whitney,81
385,druh,class,4,6,IV,Whitney,70
83,kan,class,4,1,,ambiguous,56
401,dhūrv,class,1,6,I/VI,ambiguous,50
581,mṛś,class,6,2,I/VI,Whitney,33
918,hīḍ,class,1,6,,ambiguous,29
234,cūṣ,class,4,1,I/VI,DCS,22
580,mṛdh,class,1|6,9,I/VI,Whitney,22
486,pluṣ,class,1,4,,ambiguous,21
858,skambh,class,1|5|9,8,IX,Whitney,20
31,iṅg,class,1,4,I/VI,Whitney,15
112,kṛś,class,4,1,I/VI,DCS,8
725,1 vic,class,3|7,4,I/VI,ambiguous,8
726,2 vic,class,3|7,4,I/VI,ambiguous,8
660,rup,class,4,6,,ambiguous,6
2,1 akṣ,class,1,5,?,ambiguous,4
3,2 akṣ,class,1,5,?,ambiguous,4
736,viṣṭ,class,1,6,,ambiguous,2
778,śas,class,1|2,4,II/III (athematic),ambiguous,2
917,hiṇḍ,class,1,4,,ambiguous,2
536,bhrī,class,9,7,I/VI,ambiguous,1
574,mṛc,class,4,6,,ambiguous,1
859,sku,class,2|5|9,8,,ambiguous,1
9,aṇṭh,class,6,1,,ambiguous,0
563,mīv,class,1,6,,ambiguous,0
349,1 dā,ppp_unattested,tta,,,,12008
350,2 dā,ppp_unattested,tta,,,,12008
351,3 dā,ppp_unattested,tta,,,,12008
249,jan,ppp_unattested,janitos|janitvi,,,,9247
908,han,ppp_unattested,ghata,,,,8744
704,vad,ppp_unattested,vadita,,,,3914
673,labh,ppp_unattested,labdhva|labhya,,,,3345
911,1 hā,ppp_unattested,hana,,,,2739
912,2 hā,ppp_unattested,hana,,,,2739
